Date,ADANIPORTS.NS,AMBUJACEM.NS,ASIANPAINT.NS,AUROPHARMA.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJFINANCE.NS,BHARTIARTL.NS,INFRATEL.NS,BOSCHLTD.NS,BPCL.NS,CIPLA.NS,COALINDIA.NS,DRREDDY.NS,EICHERMOT.NS,GAIL.NS,HCLTECH.NS,HDFC.NS,HDFCBANK.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,HPCL.NS,ICICIBANK.NS,IBULHSGFIN.NS,INDUSINDBK.NS,INFY.NS,IOC.NS,ITC.NS,KOTAKBANK.NS,LT.NS,LUPIN.NS,M&M.NS,MARUTI.NS,NTPC.NS,ONGC.NS,POWERGRID.NS,RELIANCE.NS,SBIN.NS,SUNPHARMA.NS,TCS.NS,TATAMOTORS.NS,TATAPOWER.NS,TATASTEEL.NS,TECHM.NS,ULTRACEMCO.NS,UPL.NS,VEDL.NS,WIPRO.NS,YESBANK.NS,ZEEL.NS
2000-02-18,,,,8.703557,1.330839,,,,,,0.39231,57.800499,,343.36026,32.351952000000004,15.929049,,,28.417778,,17.600579999999994,154.83638,1.946587,,,,62.16463100000001,2.490219,0.00109,,,,6.6282820000000005,,,0.100761,,22.836115,1.079428,2.606364,,9.556339,0.135252,36.56522,,,,4.3e-05,171.790253,,
2000-02-21,,,,8.007335000000001,1.357267,,,,,,0.382359,56.142727,,335.782593,32.281464,17.20854,,,27.662241,,17.637048999999994,167.22387700000004,1.96489,,,,64.62323,2.4233860000000003,0.001116,,,,6.785971000000001,,,0.098589,,22.587761,1.093307,2.814922,,10.321736,0.132936,36.55154,,,,4.2e-05,184.471588,,
2000-02-22,,,,7.886282,1.306299,,,,,,0.351792,54.220299,,314.386383,31.470907,18.593672,,,25.483458,,17.44594,180.603394,1.88473,,,,61.94725,2.33787,0.001072,,,,6.887533,,,0.09639,,21.849354,1.06152,2.914206,,11.149063,0.140484,36.029938,,,,3.9e-05,169.713821,,
2000-02-23,,,,7.676092999999999,1.27232,,,,,,0.343987,55.01910400000001,,339.53894,30.378408,19.650131,,,25.70602,,17.238293,177.196106,1.89041,,,,58.070576,2.41716,0.000986,,,,6.8788529999999986,,,0.096225,,21.55201,1.047863,2.817216,,10.414683,0.140055,35.343662,,,,4e-05,156.13734399999996,,
2000-02-24,,,,7.9860570000000015,1.372369,,,,,,0.35133600000000004,55.317448,,334.864807,28.722046,18.077183,,,26.590418,,17.180858999999998,190.187439,1.886621,,,,58.58764300000001,2.663394,0.00096,,,,6.8661520000000005,,,0.094465,,22.006165,1.089502,3.015459,,10.551029,0.140741,35.38483,,,,4e-05,143.64726299999995,,
2000-02-25,,,,7.631342,1.478081,,,,,,0.351272,54.605263,,331.940857,28.722046,16.633352,,,26.590418,,16.872663,193.54541,1.819714,,,,56.63539100000001,2.625078,0.000923,,,,6.630282000000001,,,0.08981900000000001,,21.473602,1.078977,2.903582,,11.334988,0.141513,35.275021,,,,3.7e-05,132.155441,,
2000-02-28,,,,7.918562,1.498846,,,,,,0.379238,57.52620699999999,,356.325958,30.730833,16.363371,,,26.654839000000006,,17.452582999999994,188.265106,1.96552,,,,53.626266,2.7701830000000003,0.000915,,,,6.818707000000002,,,0.097022,,21.767643,1.098902,3.13568,,11.220342,0.152834,35.892693,,,,3.9e-05,134.580154,,
2000-02-29,,,,7.417483,1.381808,,,,,,0.356799,55.315041,,330.831818,28.968735,15.389079,,,25.395605,,16.724644,176.475311,1.808352,,,,55.325825,2.784,0.000851,,,,6.443192,,,0.091963,,20.313633,1.024133,2.904778,,10.324841,0.145458,33.09264,,,,3.8e-05,127.312485,,
2000-03-01,,,,7.62914,1.491295,,,,,,0.358946,50.89032,,325.911713,29.920263,16.011219,,,27.427958,,16.058578,184.269455,1.857587,,,,59.751991,2.787769,0.000859,,,,6.1532160000000005,,,0.09485,,20.702477,1.057491,2.691155,,9.767072,0.140055,31.774967,,,,3.9e-05,137.465179,,
2000-03-02,,,,7.019117999999999,1.410123,,,,,,0.334556,46.81929,,300.043701,29.3564,14.943025,,,29.6243,,15.856437,173.61636399999998,1.857587,,,,64.53208199999999,2.564775,0.000825,,,,5.662103,,,0.088115,,19.065466,1.011824,2.7261490000000004,,9.097756,0.130106,31.651455,,,,3.6e-05,144.227631,,
2000-03-03,,,,6.582969,1.336502,,,,,,0.32441,43.075478,,276.042816,29.074459,14.226978,,,31.996367,,15.046760999999998,159.802475,1.709259,,,,69.694885,2.386375,0.000769,,,,5.2298,,,0.085393,,17.542877,0.932131,2.508052,,8.372657,0.137739,29.222023,,,,3.5e-05,132.689529,,
2000-03-06,,,,6.692647,1.319513,,,,,,0.298526,44.735645,,280.365234,26.748507,14.086117000000002,,,31.164673,,14.817006,152.384079,1.572922,,,,75.270737,2.241904,0.000831,,,,5.378133999999998,,,0.086492,,16.59532,0.949593,2.307458,,8.598875999999999,0.131993,28.233738,,,,3.5e-05,133.509232,,
